Feature ID,Feature Name,Feature Type,I,P value,Adjusted p value,Feature Counts in Spots Under Tissue,Median Normalized Average Counts,Barcodes Detected per Feature
ENSMUSG00000056486,Chn1,Gene Expression,0.6344973051447166,0.0,0.0,49292,14.805051547118042,2642
ENSMUSG00000027273,Snap25,Gene Expression,0.6340595607431985,0.0,0.0,143978,45.33915349163127,2692
ENSMUSG00000006782,Cnp,Gene Expression,0.6335314121579847,0.0,0.0,40839,17.330120696711816,2564
ENSMUSG00000029151,Slc30a3,Gene Expression,0.6331371995479804,0.0,0.0,6805,2.098387786535164,1419
ENSMUSG00000029697,Fezf1,Gene Expression,0.6301178945220491,0.0,0.0,346,0.07879066466645927,121
ENSMUSG00000041046,Ramp3,Gene Expression,0.6250543450217819,0.0,0.0,4760,1.7866808885184406,1322
ENSMUSG00000006930,Hap1,Gene Expression,0.6247945208439325,0.0,0.0,11721,3.161774528240493,1852
ENSMUSG00000006476,Nsmf,Gene Expression,0.6243786365278151,0.0,0.0,23716,8.764456052174124,2630
ENSMUSG00000025889,Snca,Gene Expression,0.620521360481596,0.0,0.0,27115,7.891006602448465,2435
ENSMUSG00000037625,Cldn11,Gene Expression,0.6174595763213396,0.0,0.0,22019,9.485128146953915,2317
ENSMUSG00000027270,Lamp5,Gene Expression,0.6163223779281916,0.0,0.0,7110,2.2576854933986534,1529
ENSMUSG00000027375,Mal,Gene Expression,0.6140416680804749,0.0,0.0,33491,14.579406731194481,2444
ENSMUSG00000030500,Slc17a6,Gene Expression,0.6138079307815687,0.0,0.0,6411,2.1484815665362094,1558
ENSMUSG00000028161,Ppp3ca,Gene Expression,0.6136413487123629,0.0,0.0,79747,24.490650519239445,2695
ENSMUSG00000013076,Amotl1,Gene Expression,0.6125204542595689,0.0,0.0,3905,1.4674583321045107,1360
ENSMUSG00000036699,Zcchc12,Gene Expression,0.6124874951720738,0.0,0.0,9655,2.736111568704596,1764
ENSMUSG00000031654,Cbln1,Gene Expression,0.6122416442994763,0.0,0.0,4090,1.2742362380687788,943
ENSMUSG00000007944,Ttc9b,Gene Expression,0.6109978782977171,0.0,0.0,19655,6.2156451567301865,2450
ENSMUSG00000003657,Calb2,Gene Expression,0.6089278095447745,0.0,0.0,8001,2.416660522623238,1364
ENSMUSG00000026385,Dbi,Gene Expression,0.6080647936021771,0.0,0.0,49700,17.17140990666792,2697
ENSMUSG00000035033,Tbr1,Gene Expression,0.6075137130689872,0.0,0.0,4908,1.5423214210606917,1352
ENSMUSG00000040624,Plekhg1,Gene Expression,0.6067273439219449,0.0,0.0,2564,1.006633270650331,944
ENSMUSG00000025867,Cplx2,Gene Expression,0.6063883287935059,0.0,0.0,24720,8.422405536049633,2505
ENSMUSG00000033061,Resp18,Gene Expression,0.5990912798083147,0.0,0.0,26210,7.38042973402446,2448
ENSMUSG00000031517,Gpm6a,Gene Expression,0.5981485483616459,0.0,0.0,72627,22.7038568583498,2693
ENSMUSG00000037362,Ccn3,Gene Expression,0.597562851717217,0.0,0.0,6903,2.1654229313657574,1507
ENSMUSG00000036634,Mag,Gene Expression,0.5944043766923145,0.0,0.0,23239,9.90321051655526,2287
ENSMUSG00000039195,1110008P14Rik,Gene Expression,0.5939971012446243,0.0,0.0,30635,9.804705549283456,2621
ENSMUSG00000067889,Sptbn2,Gene Expression,0.593423607067416,0.0,0.0,20925,7.178411079941423,2554
ENSMUSG00000038112,AW551984,Gene Expression,0.5923413003932615,0.0,0.0,2294,0.5997146425347691,700
ENSMUSG00000026344,Lypd1,Gene Expression,0.5908760403712173,0.0,0.0,10566,3.101117652829956,1787
ENSMUSG00000032503,Arpp21,Gene Expression,0.5904723435830231,0.0,0.0,12761,4.072560037592691,2138
ENSMUSG00000018451,6330403K07Rik,Gene Expression,0.5889556867884554,0.0,0.0,37239,10.476170566802681,2566
ENSMUSG00000021032,Ngb,Gene Expression,0.5873927740392609,0.0,0.0,2666,0.6801695992986276,818
ENSMUSG00000025203,Scd2,Gene Expression,0.5869945857194933,0.0,0.0,67702,25.38247494026959,2701
ENSMUSG00000022577,Ly6h,Gene Expression,0.5859890186066242,0.0,0.0,47205,13.535979451688874,2618
ENSMUSG00000027347,Rasgrp1,Gene Expression,0.5858515211654405,0.0,0.0,18690,5.992083794623347,2409
ENSMUSG00000053025,Sv2b,Gene Expression,0.5853819126100815,0.0,0.0,14154,4.365853713960315,2225
ENSMUSG00000015806,Qdpr,Gene Expression,0.584817321432088,0.0,0.0,22646,9.051522810024355,2544
ENSMUSG00000058624,Gda,Gene Expression,0.5844012795760662,0.0,0.0,9827,3.02002067086675,1942
ENSMUSG00000071379,Hpcal1,Gene Expression,0.583639747977511,0.0,0.0,8291,2.313408844959755,1694
ENSMUSG00000059857,Ntng1,Gene Expression,0.5836203832357255,0.0,0.0,3874,1.4275021024479526,1350
ENSMUSG00000026259,Ngef,Gene Expression,0.5833377496181044,0.0,0.0,11084,3.4793837023239393,2083
ENSMUSG00000028785,Hpca,Gene Expression,0.5804101953082248,0.0,0.0,38928,10.14669154922209,2475
ENSMUSG00000032174,Icam5,Gene Expression,0.5787399531333111,0.0,0.0,8596,2.481814078073436,1757
ENSMUSG00000021087,Rtn1,Gene Expression,0.5782841960843347,0.0,0.0,107077,31.617444614574666,2691
ENSMUSG00000049225,Pdp1,Gene Expression,0.5748585105232136,0.0,0.0,9098,3.2286106214261285,2069
ENSMUSG00000050074,Spink8,Gene Expression,0.5744012436542881,0.0,0.0,1808,0.5066686053348324,464
ENSMUSG00000013523,Bcas1,Gene Expression,0.5736533632636783,0.0,0.0,8429,3.6000300383204493,2033
ENSMUSG00000025372,Baiap2,Gene Expression,0.5733363292021538,0.0,0.0,11397,3.3801273406997674,1981
ENSMUSG00000049775,Tmsb4x,Gene Expression,0.5707863111844713,0.0,0.0,235030,74.17779056627965,2701
ENSMUSG00000033161,Atp1a1,Gene Expression,0.5706979824389441,0.0,0.0,36485,11.32992197040575,2638
ENSMUSG00000076439,Mog,Gene Expression,0.5693575304847034,0.0,0.0,12596,5.405585975851901,1984
ENSMUSG00000036198,Arhgap36,Gene Expression,0.5681393757666936,0.0,0.0,1397,0.3619941626496389,427
ENSMUSG00000032238,Rora,Gene Expression,0.5678652327331308,0.0,0.0,7725,3.0103030958106833,2019
ENSMUSG00000040856,Dlk1,Gene Expression,0.5675967831542512,0.0,0.0,2162,0.5838161715910264,598
ENSMUSG00000032060,Cryab,Gene Expression,0.5660320114514431,0.0,0.0,20751,8.451066297192178,2496
ENSMUSG00000007892,Rplp1,Gene Expression,0.5658241925297574,0.0,0.0,267994,91.03290423021032,2702
ENSMUSG00000025738,Fbxl16,Gene Expression,0.5655675678150552,0.0,0.0,25601,8.40841340437564,2577
ENSMUSG00000029544,Cabp1,Gene Expression,0.5647658129266269,0.0,0.0,9238,2.9124599066450974,1959
ENSMUSG00000052889,Prkcb,Gene Expression,0.5647240404997695,0.0,0.0,21468,6.931684440670068,2520
ENSMUSG00000095845,Gm5741,Gene Expression,0.5645883682774453,0.0,0.0,1304,0.2146402662544121,108
ENSMUSG00000041571,Selenow,Gene Expression,0.564340539893036,0.0,0.0,143693,47.458020164975366,2701
ENSMUSG00000020460,Rps27a,Gene Expression,0.5639223460524386,0.0,0.0,113879,37.73648401288769,2701
ENSMUSG00000030307,Slc6a11,Gene Expression,0.5629088268570761,0.0,0.0,8748,3.1314876357831096,2067
ENSMUSG00000059456,Ptk2b,Gene Expression,0.5617141797310503,0.0,0.0,15682,4.6997597028140845,2244
ENSMUSG00000020431,Adcy1,Gene Expression,0.5588432486558543,0.0,0.0,15178,5.376372288188512,2442
ENSMUSG00000051853,Arf3,Gene Expression,0.5578651203350522,0.0,0.0,42192,13.708725178504809,2678
ENSMUSG00000020486,Sept4,Gene Expression,0.555110548322634,0.0,0.0,15227,6.235549808873092,2372
ENSMUSG00000046215,Rprml,Gene Expression,0.5518549477857945,0.0,0.0,7734,2.2376560573566247,1737
ENSMUSG00000036438,Calm2,Gene Expression,0.5509788526703785,0.0,0.0,138888,42.154210032467134,2699
ENSMUSG00000032890,Rims3,Gene Expression,0.5504021440016774,0.0,0.0,8271,2.868867799509197,2077
ENSMUSG00000062328,Rpl17,Gene Expression,0.5503234862724222,0.0,0.0,111438,36.05052895297089,2702
ENSMUSG00000033615,Cplx1,Gene Expression,0.5498605081820841,0.0,0.0,36994,12.42176643940338,2620
ENSMUSG00000020262,Adarb1,Gene Expression,0.5493250411469798,0.0,0.0,10099,3.8069566652363096,2265
ENSMUSG00000045573,Penk,Gene Expression,0.5488108094100116,0.0,0.0,10426,2.827018623052408,1420
ENSMUSG00000028266,Lmo4,Gene Expression,0.5486094644605612,0.0,0.0,17484,5.415219743424434,2334
ENSMUSG00000030905,Crym,Gene Expression,0.5484996405530498,0.0,0.0,6344,1.7732608543139208,1428
ENSMUSG00000020178,Adora2a,Gene Expression,0.5419420897977294,0.0,0.0,718,0.21780973494189265,239
ENSMUSG00000037579,Kcnh3,Gene Expression,0.5412954039589827,0.0,0.0,4612,1.507254528505117,1540
ENSMUSG00000061983,Rps12,Gene Expression,0.5401878733798696,0.0,0.0,103654,34.90969164973493,2699
ENSMUSG00000060636,Rpl35a,Gene Expression,0.5390670226558372,0.0,0.0,114112,37.71328789372188,2701
ENSMUSG00000054667,Irs4,Gene Expression,0.538813639306824,0.0,0.0,844,0.20890946633550883,345
ENSMUSG00000022425,Enpp2,Gene Expression,0.5359165935371758,0.0,0.0,34842,9.843561311931861,2555
ENSMUSG00000021647,Cartpt,Gene Expression,0.5353629775041762,0.0,0.0,5733,1.4777640155721594,999
ENSMUSG00000019194,Scn1b,Gene Expression,0.5348415155336176,0.0,0.0,36108,11.704916099357899,2630
ENSMUSG00000023046,Igfbp6,Gene Expression,0.5347196659570416,0.0,0.0,4126,1.3383836749625115,1306
ENSMUSG00000029223,Uchl1,Gene Expression,0.533027329741775,0.0,0.0,111418,34.573655544518644,2692
ENSMUSG00000001827,Folr1,Gene Expression,0.5327048747474661,0.0,0.0,1285,0.30250571814423244,287
ENSMUSG00000027858,Tspan2,Gene Expression,0.5325266519771449,0.0,0.0,12499,5.268298199089768,2160
ENSMUSG00000037742,Eef1a1,Gene Expression,0.5322748578701524,0.0,0.0,169255,55.22776760602756,2702
ENSMUSG00000003279,Dlgap1,Gene Expression,0.5321642244774208,0.0,0.0,20093,6.575231013328781,2538
ENSMUSG00000038530,Rgs4,Gene Expression,0.5319899387329435,0.0,0.0,14053,4.7414270007896615,2300
ENSMUSG00000115625,2900040C04Rik,Gene Expression,0.5318264081409112,0.0,0.0,1388,0.31371026632028604,245
ENSMUSG00000074129,Rpl13a,Gene Expression,0.5316221556335371,0.0,0.0,151535,51.17143603056936,2701
ENSMUSG00000041773,Enc1,Gene Expression,0.5314043483816466,0.0,0.0,20376,6.187518549574339,2425
ENSMUSG00000041708,Mpped1,Gene Expression,0.5312233568550865,0.0,0.0,5493,1.7876125401329326,1629
ENSMUSG00000093674,Rpl41,Gene Expression,0.5309753167420694,0.0,0.0,173201,56.93321500805117,2701
ENSMUSG00000067578,Cbln4,Gene Expression,0.5293885906092727,0.0,0.0,2722,0.8684622442879322,887
ENSMUSG00000043439,Epop,Gene Expression,0.5293847120570306,0.0,0.0,3786,1.346971906858234,1378
ENSMUSG00000028832,Stmn1,Gene Expression,0.528611852400515,0.0,0.0,72384,23.857815391345977,2691
ENSMUSG00000035864,Syt1,Gene Expression,0.5284018551484717,0.0,0.0,45955,14.881997449974387,2674
ENSMUSG00000073680,Tmem88b,Gene Expression,0.527221660983042,0.0,0.0,5509,2.345221433040413,1611
ENSMUSG00000063659,Zbtb18,Gene Expression,0.5259701544076518,0.0,0.0,11925,3.633352406555386,2182
ENSMUSG00000060126,Tpt1,Gene Expression,0.5238977107900331,0.0,0.0,102875,36.13314316765818,2701
ENSMUSG00000024736,Tmem132a,Gene Expression,0.523815481953137,0.0,0.0,13163,4.062341333034049,2287
ENSMUSG00000040952,Rps19,Gene Expression,0.5235923765071359,0.0,0.0,99340,32.88885732356206,2702
ENSMUSG00000110195,Pde2a,Gene Expression,0.5229797988887186,0.0,0.0,10230,3.106797153720619,2103
ENSMUSG00000040479,Dgkz,Gene Expression,0.5221975285487961,0.0,0.0,13857,4.5785353711905215,2434
ENSMUSG00000059173,Pde1a,Gene Expression,0.5211026906065884,0.0,0.0,8238,2.467130925262315,1860
ENSMUSG00000061751,Kalrn,Gene Expression,0.5199692234314386,0.0,0.0,10688,3.464732745440701,2220
ENSMUSG00000045337,Defb11,Gene Expression,0.5194634417990325,0.0,0.0,181,0.03889456515323445,61
ENSMUSG00000055430,Nap1l5,Gene Expression,0.51930270969581,0.0,0.0,38696,11.696832209134879,2603
ENSMUSG00000026825,Dnm1,Gene Expression,0.5186218147098898,0.0,0.0,65007,20.348869673899,2681
ENSMUSG00000058254,Tspan7,Gene Expression,0.5179941148191152,0.0,0.0,65197,21.482876699820185,2700
ENSMUSG00000041453,Rpl21,Gene Expression,0.5174986329733617,0.0,0.0,135818,44.94098365956792,2702
ENSMUSG00000038872,Zfhx3,Gene Expression,0.516958403308833,0.0,0.0,2411,0.8979627491800671,1080
ENSMUSG00000024873,Cnih2,Gene Expression,0.5164327731576551,0.0,0.0,27763,8.75190711630429,2609
ENSMUSG00000047261,Gap43,Gene Expression,0.5158035085403246,0.0,0.0,29364,8.821048570039638,2550
ENSMUSG00000030772,Dkk3,Gene Expression,0.51574563062152,0.0,0.0,8333,2.5428622366494897,1923
ENSMUSG00000036564,Ndrg4,Gene Expression,0.5157189101867927,0.0,0.0,69978,22.46136152009596,2680
ENSMUSG00000009394,Syn2,Gene Expression,0.5156503048779294,0.0,0.0,26135,7.815611608188052,2536
ENSMUSG00000041841,Rpl37,Gene Expression,0.5155940541783888,0.0,0.0,132214,44.50346046053457,2702
ENSMUSG00000026051,Ecrg4,Gene Expression,0.515062583145782,0.0,0.0,2724,0.6269627077888397,439
ENSMUSG00000005892,Trh,Gene Expression,0.5139958365828734,0.0,0.0,1316,0.3390362287252137,370
ENSMUSG00000038764,Ptpn3,Gene Expression,0.5135776650716499,0.0,0.0,3576,1.2881629956283605,1337
ENSMUSG00000020932,Gfap,Gene Expression,0.5135287558151167,0.0,0.0,8191,3.32328674100483,1640
ENSMUSG00000022949,Clic6,Gene Expression,0.5134842401340987,0.0,0.0,1566,0.3706048550141098,412
ENSMUSG00000025582,Nptx1,Gene Expression,0.5134365789209612,0.0,0.0,10609,3.1300396495823373,1988
ENSMUSG00000032518,Rpsa,Gene Expression,0.5129746619830906,0.0,0.0,98421,34.0502895643848,2701
ENSMUSG00000042388,Dlgap3,Gene Expression,0.5127188636055243,0.0,0.0,15932,5.837033505218385,2513
ENSMUSG00000037166,Ppp1r14a,Gene Expression,0.5124640870759856,0.0,0.0,6946,2.9210021174115957,1769
ENSMUSG00000068696,Gpr88,Gene Expression,0.5109720087975577,0.0,0.0,3669,1.1763966448905325,1202
ENSMUSG00000026247,Ecel1,Gene Expression,0.5104522930990297,0.0,0.0,1722,0.46136597697739595,573
ENSMUSG00000026830,Ermn,Gene Expression,0.5099372681692766,0.0,0.0,5226,2.2555035787430784,1514
ENSMUSG00000020950,Foxg1,Gene Expression,0.5094919155917481,0.0,0.0,5050,1.6019693692854833,1531
ENSMUSG00000025290,Rps24,Gene Expression,0.5090259074772037,0.0,0.0,130234,44.0771139461036,2700
ENSMUSG00000060938,Rpl26,Gene Expression,0.5088729667694143,0.0,0.0,125226,41.86899879757936,2701
ENSMUSG00000079523,Tmsb10,Gene Expression,0.5086004582282996,0.0,0.0,62155,19.609778557355153,2688
ENSMUSG00000053093,Myh7,Gene Expression,0.5071970971805053,0.0,0.0,3491,0.9950332798859582,1178
ENSMUSG00000015090,Ptgds,Gene Expression,0.5070478293453727,0.0,0.0,129408,49.89955299593874,2696
ENSMUSG00000022490,Ppp1r1a,Gene Expression,0.5065378741444809,0.0,0.0,17120,5.302161785084659,2461
ENSMUSG00000026090,2010300C02Rik,Gene Expression,0.5064659628161354,0.0,0.0,8120,2.4518707547435246,1925
ENSMUSG00000027797,Dclk1,Gene Expression,0.5058645646257753,0.0,0.0,21343,6.786973637953634,2566
ENSMUSG00000022548,Apod,Gene Expression,0.5054233332390587,0.0,0.0,29438,11.938856265041025,2487
ENSMUSG00000007656,Arpp19,Gene Expression,0.5049554754625276,0.0,0.0,21708,7.0135278177424105,2596
ENSMUSG00000001270,Ckb,Gene Expression,0.5037647489890693,0.0,0.0,136486,47.85457361756081,2701
ENSMUSG00000009075,Cabp7,Gene Expression,0.5034925305273861,0.0,0.0,2663,0.9439044986240553,1030
ENSMUSG00000050121,Opalin,Gene Expression,0.5028365554024196,0.0,0.0,8061,3.4504985093954055,1743
ENSMUSG00000059361,Nrsn2,Gene Expression,0.502751863364417,0.0,0.0,15834,4.638676118485896,2316
ENSMUSG00000061859,Patj,Gene Expression,0.5025397419748832,0.0,0.0,1426,0.5381130015713569,706
ENSMUSG00000049556,Lingo1,Gene Expression,0.5022659838458517,0.0,0.0,17042,5.361923769305939,2424
ENSMUSG00000019943,Atp2b1,Gene Expression,0.50141298045009,0.0,0.0,26680,8.734467141529379,2626
ENSMUSG00000039114,Nrn1,Gene Expression,0.5012549919586924,0.0,0.0,13479,4.119481681848839,2225
ENSMUSG00000037855,Zfp365,Gene Expression,0.5012329586417666,0.0,0.0,15235,5.266908177808547,2521
ENSMUSG00000031344,Gabrq,Gene Expression,0.5007788316528342,0.0,0.0,645,0.1614997438173268,310
ENSMUSG00000032936,Camkv,Gene Expression,0.5006489944153755,0.0,0.0,18635,5.653045896281946,2441
ENSMUSG00000033585,Ndn,Gene Expression,0.5006114758248554,0.0,0.0,31352,9.057831562081734,2580
ENSMUSG00000030134,Rasgef1a,Gene Expression,0.5005787155827967,0.0,0.0,11338,3.6677650565825335,2259
ENSMUSG00000087075,Lbhd2,Gene Expression,0.4994846287183699,0.0,0.0,1212,0.3189480216533108,474
ENSMUSG00000003363,Pld3,Gene Expression,0.4989944457833697,0.0,0.0,26632,8.210019103532085,2595
ENSMUSG00000022090,Pdlim2,Gene Expression,0.4983738123250386,0.0,0.0,4788,2.0557743718403976,1509
ENSMUSG00000031111,Igsf1,Gene Expression,0.4978847508547814,0.0,0.0,1861,0.5556046252909547,809
ENSMUSG00000006522,Itih3,Gene Expression,0.4969310582365772,0.0,0.0,3853,1.2670800017817168,1350
ENSMUSG00000019986,Ahi1,Gene Expression,0.49685165621141475,0.0,0.0,15133,4.314222985400407,2304
ENSMUSG00000020894,Vamp2,Gene Expression,0.49680743275386835,0.0,0.0,69051,22.05655141434799,2691
ENSMUSG00000030226,Lmo3,Gene Expression,0.49515612702111395,0.0,0.0,7116,2.0587693643737337,1686
ENSMUSG00000078816,Prkcg,Gene Expression,0.4949016797185318,0.0,0.0,15947,4.826792681087851,2264
ENSMUSG00000032854,Ugt8a,Gene Expression,0.4942434560155749,0.0,0.0,5357,2.250684969138871,1531
ENSMUSG00000037984,Neurod6,Gene Expression,0.49378419438341525,0.0,0.0,4697,1.3095738853206556,1230
ENSMUSG00000033579,Fa2h,Gene Expression,0.4933928745476909,0.0,0.0,4979,2.1269797653634153,1460
ENSMUSG00000050821,Fam131a,Gene Expression,0.49326708831297517,0.0,0.0,13157,3.6752408340905074,2119
ENSMUSG00000076498,Trbc2,Gene Expression,0.492290868950646,0.0,0.0,1923,0.5953471437570342,731
ENSMUSG00000026879,Gsn,Gene Expression,0.49183461954766283,0.0,0.0,9390,3.8430517374745423,1926
ENSMUSG00000032589,Bsn,Gene Expression,0.4911960870424102,0.0,0.0,12953,4.1987143435558405,2351
ENSMUSG00000054459,Vsnl1,Gene Expression,0.48956339214634687,0.0,0.0,52869,16.696233221083798,2657
ENSMUSG00000021719,Rgs7bp,Gene Expression,0.489113737657056,0.0,0.0,14536,5.017207462194872,2412
ENSMUSG00000085007,Gm11549,Gene Expression,0.48797000203403995,0.0,0.0,1665,0.5225162585667609,784
ENSMUSG00000066705,Fxyd6,Gene Expression,0.48793803187693824,0.0,0.0,12796,3.776204966891374,2138
ENSMUSG00000044216,Kcnj4,Gene Expression,0.4878306649065892,0.0,0.0,4195,1.2857960699163797,1403
ENSMUSG00000033953,Ppp3r1,Gene Expression,0.4877236244650959,0.0,0.0,38691,11.523627408263073,2624
ENSMUSG00000090733,Rps27,Gene Expression,0.48719160540233974,0.0,0.0,96829,32.57896716895866,2700
ENSMUSG00000047215,Rpl9,Gene Expression,0.48682230528696785,0.0,0.0,114450,37.046622458142416,2700
ENSMUSG00000031775,Pllp,Gene Expression,0.4866475935324397,0.0,0.0,8357,3.5075639084186774,1974
ENSMUSG00000020732,Rab37,Gene Expression,0.4858756842073719,0.0,0.0,804,0.3205381277650804,417
ENSMUSG00000019923,Zwint,Gene Expression,0.4851599222812274,0.0,0.0,62325,18.739645334215556,2669
ENSMUSG00000017723,Wfdc2,Gene Expression,0.48486429718143653,0.0,0.0,500,0.1138430548602149,122
ENSMUSG00000026421,Csrp1,Gene Expression,0.48425765823005174,0.0,0.0,18647,7.502415985225295,2596
ENSMUSG00000061762,Tac1,Gene Expression,0.4834967476524603,0.0,0.0,4082,1.0754296342884486,918
ENSMUSG00000039278,Pcsk1n,Gene Expression,0.48335163354189775,0.0,0.0,155316,49.56761380498928,2699
ENSMUSG00000047675,Rps8,Gene Expression,0.48294173703160065,0.0,0.0,116601,38.39070702288379,2698
ENSMUSG00000032246,Calml4,Gene Expression,0.48279429498180243,0.0,0.0,1095,0.26801443106220707,218
ENSMUSG00000055945,Prr18,Gene Expression,0.48244285090738864,0.0,0.0,3933,1.6702688169487794,1485
ENSMUSG00000030302,Atp2b2,Gene Expression,0.4812200833943272,0.0,0.0,22055,7.503268361244321,2593
ENSMUSG00000037086,Prr32,Gene Expression,0.4804964233653918,0.0,0.0,282,0.06397879361476957,93
ENSMUSG00000017734,Dbndd2,Gene Expression,0.4794204788296132,0.0,0.0,16807,6.61747252430795,2534
ENSMUSG00000079436,Kcnj13,Gene Expression,0.47940014102947287,0.0,0.0,530,0.12192576969128999,122
ENSMUSG00000028833,Ncdn,Gene Expression,0.4792168622718899,0.0,0.0,72697,22.14597370498531,2691
ENSMUSG00000032988,Slc16a8,Gene Expression,0.47873219222933266,0.0,0.0,210,0.04693975364185636,65
ENSMUSG00000039904,Gpr37,Gene Expression,0.47621129292064385,0.0,0.0,5978,2.5151772431430666,1735
ENSMUSG00000029563,Foxp2,Gene Expression,0.47586838445043284,0.0,0.0,2205,0.755584490177554,917
ENSMUSG00000037706,Cd81,Gene Expression,0.47545634230211214,0.0,0.0,42349,15.403056405747078,2696
ENSMUSG00000048108,Tmem72,Gene Expression,0.47522585576039694,0.0,0.0,383,0.08677729683507811,119
ENSMUSG00000039001,Rps21,Gene Expression,0.4745940384496483,0.0,0.0,175797,59.716966345038735,2701
ENSMUSG00000091705,H2-Q2,Gene Expression,0.47409903430998807,0.0,0.0,437,0.10627705884938482,194
ENSMUSG00000063415,Cyp26b1,Gene Expression,0.4738073458179349,0.0,0.0,661,0.17958627491374787,311
ENSMUSG00000016349,Eef1a2,Gene Expression,0.4736490251049978,0.0,0.0,47273,15.55857052657729,2679
ENSMUSG00000027199,Gatm,Gene Expression,0.47234516160587864,0.0,0.0,7906,3.289931016128643,2082
